SEARCHVAL,coordinates,Nearest School,Neareset School Coordinates,Nearest School Distance,Raffles MRT Coords,Time To City,Nearest Malls,Nearest Mall Distance,Nearest MRT,Nearest MRT Distance,Original Nameds
122 YUAN CHING ROAD SINGAPORE 610122,"1.33598546940987,103.72386599203",LAKESIDE PRIMARY SCHOOL,"1.33820397704287,103.718089546664",889,"1.28393326234538,103.851463066212",38.78333333,TAMAN JURONG SHOPPING CENTRE,636,LAKESIDE MRT STATION (EW26),1377,122 YUAN CHING RD
PUNGGOL EDGE,"1.39350981217359,103.909106562659",MEE TOH SCHOOL,"1.3946184538592,103.908589494228",396,"1.28393326234538,103.851463066212",41.11666667,PUNGGOL PLAZA,656,SENGKANG MRT STATION (NE16),2186,122A EDGEDALE PLAINS
RIVERVALE BANK,"1.38661451456829,103.906024040147",NORTH SPRING PRIMARY SCHOOL,"1.38706146494859,103.903202683028",465,"1.28393326234538,103.851463066212",36.51666667,RIVERVALE PLAZA,687,SENGKANG MRT STATION (NE16),1689,122A SENGKANG EAST WAY
PUNGGOL EDGE,"1.39415009117251,103.909595974135",MEE TOH SCHOOL,"1.3946184538592,103.908589494228",334,"1.28393326234538,103.851463066212",39.66666667,PUNGGOL PLAZA,594,SENGKANG MRT STATION (NE16),2259,122B EDGEDALE PLAINS
RIVERVALE BANK,"1.38716489802466,103.906534426334",NORTH SPRING PRIMARY SCHOOL,"1.38706146494859,103.903202683028",565,"1.28393326234538,103.851463066212",35.43333333,RIVERVALE PLAZA,787,SENGKANG MRT STATION (NE16),1601,122B SENGKANG EAST WAY
RIVERVALE BANK,"1.38750850228857,103.906143768947",NORTH SPRING PRIMARY SCHOOL,"1.38706146494859,103.903202683028",524,"1.28393326234538,103.851463066212",35.08333333,RIVERVALE PLAZA,746,SENGKANG MRT STATION (NE16),1538,122C SENGKANG EAST WAY
RIVERVALE BANK,"1.38709611224694,103.905723021788",NORTH SPRING PRIMARY SCHOOL,"1.38706146494859,103.903202683028",439,"1.28393326234538,103.851463066212",36.21666667,RIVERVALE PLAZA,661,SENGKANG MRT STATION (NE16),1585,122D RIVERVALE DR
RIVERVALE BANK,"1.38795724986826,103.905852165491",NORTH SPRING PRIMARY SCHOOL,"1.38706146494859,103.903202683028",491,"1.28393326234538,103.851463066212",35.63333333,RIVERVALE MALL,619,SENGKANG MRT STATION (NE16),1460,122E RIVERVALE DR
123 BEDOK NORTH STREET 2 SINGAPORE 460123,"1.32919868667839,103.937343347878",RED SWASTIKA SCHOOL,"1.33324297847732,103.934332314404",781,"1.28393326234538,103.851463066212",30.08333333,DJITSUN MALL BEDOK,1087,BEDOK RESERVOIR MRT STATION (DT30),1306,123 BEDOK NTH ST 2
EUNOS SPRING,"1.33231954024354,103.910394882793",TELOK KURAU PRIMARY SCHOOL,"1.33104585441349,103.910934011337",272,"1.28393326234538,103.851463066212",28.38333333,DJITSUN MALL BEDOK,2653,KAKI BUKIT MRT STATION (DT28),485,123 BEDOK RESERVOIR RD
123 BISHAN STREET 12 SINGAPORE 570123,"1.34648720621029,103.850461077477",GUANGYANG PRIMARY SCHOOL,"1.34569011530238,103.849453239895",316,"1.28393326234538,103.851463066212",25.63333333,JUNCTION 8,647,BISHAN MRT STATION (CC15),746,123 BISHAN ST 12
123 BUKIT BATOK CENTRAL SINGAPORE 650123,"1.35141970002657,103.747499423763",PRINCESS ELIZABETH PRIMARY SCHOOL,"1.349203512653,103.74101964471",933,"1.28393326234538,103.851463066212",38,WEST MALL,396,BUKIT BATOK MRT STATION (NS2),555,123 BT BATOK CTRL
123 GEYLANG EAST CENTRAL SINGAPORE 380123,"1.31817735130958,103.885425829984",GEYLANG METHODIST SCHOOL (PRIMARY),"1.31759126757284,103.883845744916",303,"1.28393326234538,103.851463066212",16.76666667,PAYA LEBAR SQUARE,1146,ALJUNIED MRT STATION (EW9),541,123 GEYLANG EAST CTRL
123 HOUGANG AVENUE 1 SINGAPORE 530123,"1.35338313924634,103.88625894527",PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),"1.34947276268396,103.884971343143",708,"1.28393326234538,103.851463066212",30.71666667,HEARTLAND MALL-KOVAN,1008,KOVAN MRT STATION (NE13),1216,123 HOUGANG AVE 1
123 KIM TIAN ROAD SINGAPORE 160123,"1.28385157947843,103.828964702534",ZHANGDE PRIMARY SCHOOL,"1.28421153335379,103.825951875662",539,"1.28393326234538,103.851463066212",13.3,TIONG BAHRU PLAZA,613,TIONG BAHRU MRT STATION (EW17),530,123 KIM TIAN RD
TOA PAYOH VIEW,"1.33864901784911,103.845703844955",KHENG CHENG SCHOOL,"1.3373381935639,103.847148501824",214,"1.28393326234538,103.851463066212",16.96666667,HDB HUB,1066,BRADDELL MRT STATION (NS18),377,123 LOR 1 TOA PAYOH
123 MARSILING RISE SINGAPORE 730123,"1.43911242302221,103.778949135126",MARSILING PRIMARY SCHOOL,"1.43383904037059,103.773643013846",1521,"1.28393326234538,103.851463066212",53.95,MARSILING MALL HAWKER CENTRE,1311,MARSILING MRT STATION (NS8),1594,123 MARSILING RISE
MCNAIR SPRING,"1.31844233518161,103.856349883909",HONG WEN SCHOOL,"1.32175999964553,103.857628468881",529,"1.28393326234538,103.851463066212",20.95,CITY SQUARE MALL,1086,BOON KENG MRT STATION (NE9),836,123 MCNAIR RD
123 PASIR RIS STREET 11 SINGAPORE 510123,"1.36623151890844,103.954045012938",CASUARINA PRIMARY SCHOOL,"1.37246063927999,103.957020286115",1003,"1.28393326234538,103.851463066212",45.56666667,WHITE SANDS,1394,PASIR RIS MRT STATION (EW1),1369,123 PASIR RIS ST 11
123 PAYA LEBAR WAY SINGAPORE 381123,"1.32275605425694,103.88323521219",CANOSSA CATHOLIC PRIMARY SCHOOL,"1.32664424544839,103.882227964852",864,"1.28393326234538,103.851463066212",17.73333333,PAYA LEBAR SQUARE,1659,MATTAR MRT STATION (DT25),822,123 PAYA LEBAR WAY
123 PENDING ROAD SINGAPORE 670123,"1.37756663543382,103.770660551039",ZHENGHUA PRIMARY SCHOOL,"1.37954887512229,103.769313521752",528,"1.28393326234538,103.851463066212",37.6,FAJAR SHOPPING CENTRE,1108,BUKIT PANJANG MRT STATION (DT1),1358,123 PENDING RD
123 POTONG PASIR AVENUE 1 SINGAPORE 350123,"1.33521063790069,103.865776268967",SAINT ANDREW'S JUNIOR SCHOOL,"1.33140255308868,103.865117134385",514,"1.28393326234538,103.851463066212",23,THE POIZ CENTRE,555,POTONG PASIR MRT STATION (NE10),698,123 POTONG PASIR AVE 1
RIVERVALE GROVE,"1.38645543463935,103.903157870017",NORTH SPRING PRIMARY SCHOOL,"1.38706146494859,103.903202683028",267,"1.28393326234538,103.851463066212",36.15,RIVERVALE PLAZA,336,SENGKANG MRT STATION (NE16),1374,123 RIVERVALE DR
123 SERANGOON NORTH AVENUE 1 SINGAPORE 550123,"1.3669585129808,103.872593551192",ROSYTH SCHOOL,"1.37289067499064,103.875001549174",1108,"1.28393326234538,103.851463066212",43.45,MYVILLAGE AT SERANGOON GARDEN,1815,KOVAN MRT STATION (NE13),2141,123 SERANGOON NTH AVE 1
123 SIMEI STREET 1 SINGAPORE 520123,"1.34530661835845,103.953187956159",ANGSANA PRIMARY SCHOOL,"1.34855287558648,103.951808105552",644,"1.28393326234538,103.851463066212",32.03333333,EASTPOINT MALL,494,SIMEI MRT STATION (EW3),456,123 SIMEI ST 1
123 TECK WHYE LANE SINGAPORE 680123,"1.37919636089776,103.7494576863",SOUTH VIEW PRIMARY SCHOOL,"1.38166664389749,103.746275846011",520,"1.28393326234538,103.851463066212",37.51666667,TECK WHYE SHOPPING CENTRE,429,CHOA CHU KANG MRT STATION (NS4),1107,123 TECK WHYE LANE
CHONG PANG VIEW,"1.43457263947313,103.831796919201",AHMAD IBRAHIM PRIMARY SCHOOL,"1.43315271543517,103.832942401086",297,"1.28393326234538,103.851463066212",44.43333333,NORTHPOINT CITY,904,YISHUN MRT STATION (NS13),867,123 YISHUN ST 11
RIVERVALE GROVE,"1.38604164042445,103.902900565994",NORTH SPRING PRIMARY SCHOOL,"1.38706146494859,103.903202683028",327,"1.28393326234538,103.851463066212",35.15,RIVERVALE PLAZA,305,SENGKANG MRT STATION (NE16),1352,123A RIVERVALE DR
RIVERVALE GROVE,"1.38617778526651,103.902618689082",NORTH SPRING PRIMARY SCHOOL,"1.38706146494859,103.903202683028",354,"1.28393326234538,103.851463066212",35.51666667,RIVERVALE PLAZA,276,SENGKANG MRT STATION (NE16),1314,123B RIVERVALE DR
RIVERVALE GROVE,"1.38640852201004,103.902222112406",NORTH SPRING PRIMARY SCHOOL,"1.38706146494859,103.903202683028",384,"1.28393326234538,103.851463066212",35.88333333,RIVERVALE PLAZA,196,SENGKANG MRT STATION (NE16),1234,123C RIVERVALE DR
RIVERVALE GROVE,"1.38684496487943,103.902192105408",NORTH SPRING PRIMARY SCHOOL,"1.38706146494859,103.903202683028",424,"1.28393326234538,103.851463066212",37.85,RIVERVALE PLAZA,225,SENGKANG MRT STATION (NE16),1264,123D RIVERVALE DR
RIVERVALE GROVE,"1.38664916883325,103.90272469127",NORTH SPRING PRIMARY SCHOOL,"1.38706146494859,103.903202683028",290,"1.28393326234538,103.851463066212",36.7,RIVERVALE PLAZA,295,SENGKANG MRT STATION (NE16),1333,123E RIVERVALE DR
124 ANG MO KIO AVENUE 6 SINGAPORE 560124,"1.37089179310251,103.844768276408",ANG MO KIO PRIMARY SCHOOL,"1.36932176584608,103.839630858752",772,"1.28393326234538,103.851463066212",27.18333333,BROADWAY PLAZA,337,ANG MO KIO MRT STATION (NS16),804,124 ANG MO KIO AVE 6
124 BEDOK NORTH ROAD SINGAPORE 460124,"1.32925881944574,103.939046430321",SAINT ANTHONY'S CANOSSIAN PRIMARY SCHOOL,"1.3347253730189,103.941234868202",925,"1.28393326234538,103.851463066212",29.23333333,DJITSUN MALL BEDOK,1382,TANAH MERAH MRT STATION (EW4),1180,124 BEDOK NTH RD
EUNOS SPRING,"1.33262542332889,103.910160875435",TELOK KURAU PRIMARY SCHOOL,"1.33104585441349,103.910934011337",287,"1.28393326234538,103.851463066212",28.81666667,SINGAPORE POST CENTRE,3289,KAKI BUKIT MRT STATION (DT28),433,124 BEDOK RESERVOIR RD
124 BISHAN STREET 12 SINGAPORE 570124,"1.34647605091488,103.85127373178",GUANGYANG PRIMARY SCHOOL,"1.34569011530238,103.849453239895",415,"1.28393326234538,103.851463066212",23.13333333,JUNCTION 8,706,BISHAN MRT STATION (CC15),805,124 BISHAN ST 12
124 BUKIT BATOK CENTRAL SINGAPORE 650124,"1.35118204905855,103.747209859564",PRINCESS ELIZABETH PRIMARY SCHOOL,"1.349203512653,103.74101964471",939,"1.28393326234538,103.851463066212",37.68333333,WEST MALL,374,BUKIT BATOK MRT STATION (NS2),532,124 BT BATOK CTRL
124 BUKIT MERAH LANE 1 SINGAPORE 150124,"1.28582331821306,103.803532208512",QUEENSTOWN PRIMARY SCHOOL,"1.29559365009015,103.807548617332",1754,"1.28393326234538,103.851463066212",20.18333333,QUEENSWAY SHOPPING CENTRE,297,QUEENSTOWN MRT STATION (EW19),1342,124 BT MERAH LANE 1
GEYLANG EAST GROVE,"1.31838863767065,103.8866756731",GEYLANG METHODIST SCHOOL (PRIMARY),"1.31759126757284,103.883845744916",430,"1.28393326234538,103.851463066212",18.63333333,PAYA LEBAR SQUARE,997,ALJUNIED MRT STATION (EW9),661,124 GEYLANG EAST AVE 1
124 HOUGANG AVENUE 1 SINGAPORE 530124,"1.35289261537459,103.886655349716",PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),"1.34947276268396,103.884971343143",656,"1.28393326234538,103.851463066212",29.11666667,HEARTLAND MALL-KOVAN,1048,KOVAN MRT STATION (NE13),1256,124 HOUGANG AVE 1
TOA PAYOH VIEW,"1.33864876713615,103.844627302235",KHENG CHENG SCHOOL,"1.3373381935639,103.847148501824",334,"1.28393326234538,103.851463066212",18.46666667,HDB HUB,1170,BRADDELL MRT STATION (NS18),440,124 LOR 1 TOA PAYOH
124 MARSILING RISE SINGAPORE 730124,"1.43882868042269,103.779387669726",MARSILING PRIMARY SCHOOL,"1.43383904037059,103.773643013846",1552,"1.28393326234538,103.851463066212",55.15,MARSILING MALL HAWKER CENTRE,1227,MARSILING MRT STATION (NS8),1510,124 MARSILING RISE
MCNAIR SPRING,"1.31834857200372,103.8560612412",HONG WEN SCHOOL,"1.32175999964553,103.857628468881",540,"1.28393326234538,103.851463066212",21.11666667,CITY SQUARE MALL,1078,FARRER PARK MRT STATION,811,124 MCNAIR RD
124 PASIR RIS STREET 11 SINGAPORE 510124,"1.36582030229146,103.954308255767",WHITE SANDS PRIMARY SCHOOL,"1.36555714668553,103.960918869319",1116,"1.28393326234538,103.851463066212",45.7,WHITE SANDS,1430,PASIR RIS MRT STATION (EW1),1405,124 PASIR RIS ST 11
124 PAYA LEBAR WAY SINGAPORE 381124,"1.32308876681681,103.883739097439",CANOSSA CATHOLIC PRIMARY SCHOOL,"1.32664424544839,103.882227964852",877,"1.28393326234538,103.851463066212",18.61666667,PAYA LEBAR SQUARE,1616,MATTAR MRT STATION (DT25),744,124 PAYA LEBAR WAY
124 PENDING ROAD SINGAPORE 670124,"1.37699935766576,103.771170930202",ZHENGHUA PRIMARY SCHOOL,"1.37954887512229,103.769313521752",628,"1.28393326234538,103.851463066212",36.2,FAJAR SHOPPING CENTRE,1116,CASHEW MRT STATION (DT2),1379,124 PENDING RD
124 POTONG PASIR AVENUE 1 SINGAPORE 350124,"1.3353470224763,103.865451584255",SAINT ANDREW'S JUNIOR SCHOOL,"1.33140255308868,103.865117134385",519,"1.28393326234538,103.851463066212",23.93333333,THE POIZ CENTRE,603,POTONG PASIR MRT STATION (NE10),749,124 POTONG PASIR AVE 1
RIVERVALE GROVE,"1.38761971149994,103.902158654021",NORTH SPRING PRIMARY SCHOOL,"1.38706146494859,103.903202683028",461,"1.28393326234538,103.851463066212",37.58333333,RIVERVALE PLAZA,318,SENGKANG MRT STATION (NE16),1192,124 RIVERVALE DR
124 SERANGOON NORTH AVENUE 1 SINGAPORE 550124,"1.36618689571987,103.871419458199",ZHONGHUA PRIMARY SCHOOL,"1.36020329705047,103.869762438084",1702,"1.28393326234538,103.851463066212",44.46666667,MYVILLAGE AT SERANGOON GARDEN,1707,KOVAN MRT STATION (NE13),2034,124 SERANGOON NTH AVE 1
124 SIMEI STREET 1 SINGAPORE 520124,"1.34630712931251,103.953375789945",ANGSANA PRIMARY SCHOOL,"1.34855287558648,103.951808105552",601,"1.28393326234538,103.851463066212",34.16666667,EASTPOINT MALL,643,SIMEI MRT STATION (EW3),604,124 SIMEI ST 1
124 TAMPINES STREET 11 SINGAPORE 521124,"1.34518428911075,103.949793325094",ANGSANA PRIMARY SCHOOL,"1.34855287558648,103.951808105552",661,"1.28393326234538,103.851463066212",37.65,EASTPOINT MALL,836,SIMEI MRT STATION (EW3),870,124 TAMPINES ST 11
124 TECK WHYE LANE SINGAPORE 680124,"1.38010501012606,103.749632027385",SOUTH VIEW PRIMARY SCHOOL,"1.38166664389749,103.746275846011",435,"1.28393326234538,103.851463066212",39.05,TECK WHYE SHOPPING CENTRE,399,CHOA CHU KANG MRT STATION (NS4),1022,124 TECK WHYE LANE
CHONG PANG VIEW,"1.43459030044018,103.831139296919",AHMAD IBRAHIM PRIMARY SCHOOL,"1.43315271543517,103.832942401086",357,"1.28393326234538,103.851463066212",45.5,NORTHPOINT CITY,964,YISHUN MRT STATION (NS13),927,124 YISHUN ST 11
124A BUKIT MERAH VIEW SINGAPORE 151124,"1.28488704625843,103.82278181902",ZHANGDE PRIMARY SCHOOL,"1.28421153335379,103.825951875662",587,"1.28393326234538,103.851463066212",13.51666667,TIONG BAHRU PLAZA,750,TIONG BAHRU MRT STATION (EW17),794,124A BT MERAH VIEW
RIVERVALE GROVE,"1.38813306827511,103.902176141737",NORTH SPRING PRIMARY SCHOOL,"1.38706146494859,103.903202683028",417,"1.28393326234538,103.851463066212",35.5,RIVERVALE PLAZA,379,SENGKANG MRT STATION (NE16),1128,124A RIVERVALE DR
124B BUKIT MERAH VIEW SINGAPORE 152124,"1.28528220578981,103.823094986645",ZHANGDE PRIMARY SCHOOL,"1.28421153335379,103.825951875662",641,"1.28393326234538,103.851463066212",14.76666667,TIONG BAHRU PLAZA,687,TIONG BAHRU MRT STATION (EW17),731,124B BT MERAH VIEW
RIVERVALE PLAINS,"1.38829484016053,103.903158523662",NORTH SPRING PRIMARY SCHOOL,"1.38706146494859,103.903202683028",325,"1.28393326234538,103.851463066212",36.93333333,RIVERVALE PLAZA,517,SENGKANG MRT STATION (NE16),1217,124B RIVERVALE DR
RIVERVALE PLAINS,"1.38809640740115,103.902720783456",NORTH SPRING PRIMARY SCHOOL,"1.38706146494859,103.903202683028",379,"1.28393326234538,103.851463066212",39.23333333,RIVERVALE PLAZA,430,SENGKANG MRT STATION (NE16),1192,124C RIVERVALE DR
125 ALJUNIED ROAD SINGAPORE 380125,"1.32327006239711,103.881752246858",CANOSSA CATHOLIC PRIMARY SCHOOL,"1.32664424544839,103.882227964852",559,"1.28393326234538,103.851463066212",14.65,PAYA LEBAR SQUARE,1933,MATTAR MRT STATION (DT25),777,125 ALJUNIED RD
125 BEDOK NORTH ROAD SINGAPORE 460125,"1.32884321524242,103.939123687022",BEDOK GREEN PRIMARY SCHOOL,"1.32344593287992,103.937878976352",1020,"1.28393326234538,103.851463066212",28.65,DJITSUN MALL BEDOK,1361,TANAH MERAH MRT STATION (EW4),1141,125 BEDOK NTH RD
EUNOS SPRING,"1.33295993404917,103.909904762523",TELOK KURAU PRIMARY SCHOOL,"1.33104585441349,103.910934011337",356,"1.28393326234538,103.851463066212",28.73333333,SINGAPORE POST CENTRE,3283,KAKI BUKIT MRT STATION (DT28),376,125 BEDOK RESERVOIR RD
125 BISHAN STREET 12 SINGAPORE 570125,"1.34711902955637,103.851553257146",GUANGYANG PRIMARY SCHOOL,"1.34569011530238,103.849453239895",528,"1.28393326234538,103.851463066212",22.31666667,JUNCTION 8,643,BISHAN MRT STATION (CC15),741,125 BISHAN ST 12
125 BUKIT BATOK CENTRAL SINGAPORE 650125,"1.35153484935942,103.747158496291",PRINCESS ELIZABETH PRIMARY SCHOOL,"1.349203512653,103.74101964471",881,"1.28393326234538,103.851463066212",38.55,WEST MALL,432,BUKIT BATOK MRT STATION (NS2),591,125 BT BATOK CTRL
125 BUKIT MERAH VIEW SINGAPORE 151125,"1.28506119216141,103.823812011597",ZHANGDE PRIMARY SCHOOL,"1.28421153335379,103.825951875662",539,"1.28393326234538,103.851463066212",13.43333333,TIONG BAHRU PLAZA,585,TIONG BAHRU MRT STATION (EW17),629,125 BT MERAH VIEW
GEYLANG EAST GROVE,"1.31744387800501,103.886373732265",GEYLANG METHODIST SCHOOL (PRIMARY),"1.31759126757284,103.883845744916",546,"1.28393326234538,103.851463066212",16.76666667,PAYA LEBAR SQUARE,1012,ALJUNIED MRT STATION (EW9),544,125 GEYLANG EAST AVE 1
125 HOUGANG AVENUE 1 SINGAPORE 530125,"1.35240984227777,103.886491570367",PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),"1.34947276268396,103.884971343143",570,"1.28393326234538,103.851463066212",27.61666667,HEARTLAND MALL-KOVAN,1147,KOVAN MRT STATION (NE13),1337,125 HOUGANG AVE 1
125 KIM TIAN ROAD SINGAPORE 160125,"1.28363467623261,103.828128050891",ZHANGDE PRIMARY SCHOOL,"1.28421153335379,103.825951875662",463,"1.28393326234538,103.851463066212",13.85,TIONG BAHRU PLAZA,567,TIONG BAHRU MRT STATION (EW17),538,125 KIM TIAN RD
TOA PAYOH VIEW,"1.33833133395207,103.845737117132",KHENG CHENG SCHOOL,"1.3373381935639,103.847148501824",228,"1.28393326234538,103.851463066212",17.55,HDB HUB,1023,BRADDELL MRT STATION (NS18),403,125 LOR 1 TOA PAYOH
125 MARSILING RISE SINGAPORE 730125,"1.43848292251437,103.779524807409",MARSILING PRIMARY SCHOOL,"1.43383904037059,103.773643013846",1504,"1.28393326234538,103.851463066212",56.21666667,MARSILING MALL HAWKER CENTRE,1179,MARSILING MRT STATION (NS8),1462,125 MARSILING RISE
125 PASIR RIS STREET 11 SINGAPORE 510125,"1.36618432371868,103.954324674252",WHITE SANDS PRIMARY SCHOOL,"1.36555714668553,103.960918869319",1161,"1.28393326234538,103.851463066212",45.13333333,WHITE SANDS,1384,PASIR RIS MRT STATION (EW1),1359,125 PASIR RIS ST 11
125 PENDING ROAD SINGAPORE 670125,"1.37720623303834,103.770506986516",ZHENGHUA PRIMARY SCHOOL,"1.37954887512229,103.769313521752",573,"1.28393326234538,103.851463066212",38.28333333,BUKIT PANJANG PLAZA,1048,BUKIT PANJANG MRT STATION (DT1),1403,125 PENDING RD
125 POTONG PASIR AVENUE 1 SINGAPORE 350125,"1.33541493957748,103.865168758339",SAINT ANDREW'S JUNIOR SCHOOL,"1.33140255308868,103.865117134385",498,"1.28393326234538,103.851463066212",24.08333333,THE POIZ CENTRE,641,POTONG PASIR MRT STATION (NE10),787,125 POTONG PASIR AVE 1
RIVERVALE PLAINS,"1.38897036410307,103.903044791469",NORTH SPRING PRIMARY SCHOOL,"1.38706146494859,103.903202683028",339,"1.28393326234538,103.851463066212",35.26666667,RIVERVALE MALL,569,SENGKANG MRT STATION (NE16),1144,125 RIVERVALE ST
125 SERANGOON NORTH AVENUE 1 SINGAPORE 550125,"1.36645063324257,103.872110832451",ZHONGHUA PRIMARY SCHOOL,"1.36020329705047,103.869762438084",1707,"1.28393326234538,103.851463066212",44.35,MYVILLAGE AT SERANGOON GARDEN,1712,KOVAN MRT STATION (NE13),2039,125 SERANGOON NTH AVE 1
125 TAMPINES STREET 11 SINGAPORE 521125,"1.34631420347479,103.950125275001",ANGSANA PRIMARY SCHOOL,"1.34855287558648,103.951808105552",512,"1.28393326234538,103.851463066212",38.63333333,EASTPOINT MALL,989,SIMEI MRT STATION (EW3),1014,125 TAMPINES ST 11
CHONG PANG VIEW,"1.4339506942268,103.830439843368",AHMAD IBRAHIM PRIMARY SCHOOL,"1.43315271543517,103.832942401086",407,"1.28393326234538,103.851463066212",45.76666667,NORTHPOINT CITY,991,YISHUN MRT STATION (NS13),947,125 YISHUN ST 11
126 ALJUNIED ROAD SINGAPORE 380126,"1.32362634361201,103.88212045504",CANOSSA CATHOLIC PRIMARY SCHOOL,"1.32664424544839,103.882227964852",584,"1.28393326234538,103.851463066212",14.55,PAYA LEBAR SQUARE,2004,MATTAR MRT STATION (DT25),802,126 ALJUNIED RD
126 ANG MO KIO AVENUE 3 SINGAPORE 560126,"1.37164990020956,103.843644176374",ANG MO KIO PRIMARY SCHOOL,"1.36932176584608,103.839630858752",711,"1.28393326234538,103.851463066212",30.15,BROADWAY PLAZA,471,ANG MO KIO MRT STATION (NS16),938,126 ANG MO KIO AVE 3
126 BEDOK NORTH STREET 2 SINGAPORE 460126,"1.3281683000397,103.938917890645",BEDOK GREEN PRIMARY SCHOOL,"1.32344593287992,103.937878976352",1004,"1.28393326234538,103.851463066212",28.95,DJITSUN MALL BEDOK,1345,TANAH MERAH MRT STATION (EW4),1148,126 BEDOK NTH ST 2
EUNOS SPRING,"1.3327387082677,103.910911917656",TELOK KURAU PRIMARY SCHOOL,"1.33104585441349,103.910934011337",363,"1.28393326234538,103.851463066212",29.75,DJITSUN MALL BEDOK,2609,KAKI BUKIT MRT STATION (DT28),529,126 BEDOK RESERVOIR RD
126 BISHAN STREET 12 SINGAPORE 570126,"1.34627451305877,103.852083743726",GUANGYANG PRIMARY SCHOOL,"1.34569011530238,103.849453239895",538,"1.28393326234538,103.851463066212",22.46666667,JUNCTION 8,759,BISHAN MRT STATION (CC15),858,126 BISHAN ST 12
126 BUKIT BATOK CENTRAL SINGAPORE 650126,"1.35192324053157,103.746721991089",PRINCESS ELIZABETH PRIMARY SCHOOL,"1.349203512653,103.74101964471",867,"1.28393326234538,103.851463066212",39.13333333,WEST MALL,525,BUKIT BATOK MRT STATION (NS2),691,126 BT BATOK CTRL
126 BUKIT MERAH VIEW SINGAPORE 151126,"1.28442540460774,103.823909174073",ZHANGDE PRIMARY SCHOOL,"1.28421153335379,103.825951875662",423,"1.28393326234538,103.851463066212",13.76666667,TIONG BAHRU PLAZA,602,TIONG BAHRU MRT STATION (EW17),646,126 BT MERAH VIEW
GEYLANG EAST GROVE,"1.31755699491525,103.887130250228",GEYLANG METHODIST SCHOOL (PRIMARY),"1.31759126757284,103.883845744916",547,"1.28393326234538,103.851463066212",18,PAYA LEBAR SQUARE,905,ALJUNIED MRT STATION (EW9),633,126 GEYLANG EAST AVE 1
126 HOUGANG AVENUE 1 SINGAPORE 530126,"1.35223030818128,103.885711060613",PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),"1.34947276268396,103.884971343143",485,"1.28393326234538,103.851463066212",27.81666667,UPPER SERANGOON SHOPPING CENTRE,1067,KOVAN MRT STATION (NE13),1302,126 HOUGANG AVE 1
TOA PAYOH VIEW,"1.33781465652998,103.84513085219",KHENG CHENG SCHOOL,"1.3373381935639,103.847148501824",378,"1.28393326234538,103.851463066212",19.2,HDB HUB,1177,BRADDELL MRT STATION (NS18),483,126 LOR 1 TOA PAYOH
126 MARSILING RISE SINGAPORE 730126,"1.4381547085134,103.779841066241",MARSILING PRIMARY SCHOOL,"1.43383904037059,103.773643013846",1417,"1.28393326234538,103.851463066212",55.6,MARSILING MALL HAWKER CENTRE,1092,MARSILING MRT STATION (NS8),1375,126 MARSILING RISE
126 PASIR RIS STREET 11 SINGAPORE 510126,"1.36548783115926,103.955273377381",WHITE SANDS PRIMARY SCHOOL,"1.36555714668553,103.960918869319",1002,"1.28393326234538,103.851463066212",44.98333333,WHITE SANDS,1478,TAMPINES EAST MRT STATION (DT33),1805,126 PASIR RIS ST 11
126 PENDING ROAD SINGAPORE 670126,"1.37636193636024,103.769918847342",BUKIT PANJANG PRIMARY SCHOOL,"1.37362179302436,103.769374904025",535,"1.28393326234538,103.851463066212",37.03333333,BUKIT PANJANG PLAZA,910,CASHEW MRT STATION (DT2),1329,126 PENDING RD
126 POTONG PASIR AVENUE 1 SINGAPORE 350126,"1.33497246267555,103.865234309552",SAINT ANDREW'S JUNIOR SCHOOL,"1.33140255308868,103.865117134385",458,"1.28393326234538,103.851463066212",24.2,THE POIZ CENTRE,581,POTONG PASIR MRT STATION (NE10),769,126 POTONG PASIR AVE 1
RIVERVALE PLAINS,"1.38906021697376,103.902400512728",NORTH SPRING PRIMARY SCHOOL,"1.38706146494859,103.903202683028",420,"1.28393326234538,103.851463066212",34.45,RIVERVALE PLAZA,492,SENGKANG MRT STATION (NE16),1048,126 RIVERVALE ST
126 SERANGOON NORTH AVENUE 1 SINGAPORE 550126,"1.36605821730761,103.871874850688",ZHONGHUA PRIMARY SCHOOL,"1.36020329705047,103.869762438084",1653,"1.28393326234538,103.851463066212",43.03333333,MYVILLAGE AT SERANGOON GARDEN,1658,KOVAN MRT STATION (NE13),1984,126 SERANGOON NTH AVE 1
126 SIMEI STREET 1 SINGAPORE 520126,"1.34704714167601,103.954253519287",ANGSANA PRIMARY SCHOOL,"1.34855287558648,103.951808105552",584,"1.28393326234538,103.851463066212",35.55,EASTPOINT MALL,758,SIMEI MRT STATION (EW3),717,126 SIMEI ST 1
126 TAMPINES STREET 11 SINGAPORE 521126,"1.34578613288722,103.950321611291",ANGSANA PRIMARY SCHOOL,"1.34855287558648,103.951808105552",582,"1.28393326234538,103.851463066212",38.88333333,EASTPOINT MALL,917,SIMEI MRT STATION (EW3),951,126 TAMPINES ST 11
